brand,city,model_year,age_years,mileage_km,engine_cc,condition_score,price
Hyundai,Multan,2011,15,153444,1500,2.22,675109
Suzuki,Islamabad,2008,18,220689,660,1,250000
Changan,Lahore,2015,11,115192,1800,3.44,1209608
Changan,Sahiwal,2014,12,161317,1300,2.36,800195
Changan,Lahore,2010,16,224757,1300,1,250000
KIA,Faisalabad,2017,9,107214,1800,3.31,2088449
Hyundai,Sahiwal,2017,9,131800,1300,3.59,1797456
KIA,Sahiwal,2021,5,84045,1300,8.2,2895416
Toyota,Karachi,2009,17,144367,1500,1.41,1547221
Toyota,Faisalabad,2008,18,164157,1300,1,1222640
Hyundai,Faisalabad,2014,12,169127,1500,1.09,1381763
KIA,Multan,2015,11,191967,1800,1,1557615
Suzuki,Sahiwal,2008,18,206632,1300,1,250000
Changan,Faisalabad,2010,16,265301,1500,1,250000
Changan,Sahiwal,2015,11,143853,1800,3.02,1174712
Hyundai,Multan,2022,4,37464,1300,7.79,2625023
Toyota,Multan,2012,14,128607,1300,1.53,2089226
Toyota,Karachi,2010,16,211704,1300,1,1209799
Changan,Sahiwal,2008,18,173498,1800,1,250000
Hyundai,Faisalabad,2022,4,55980,1300,5.65,2578408
KIA,Faisalabad,2015,11,178186,1800,3,1328975
Toyota,Sahiwal,2009,17,193405,1300,1,1255724
KIA,Sahiwal,2010,16,235464,1500,1,719926
Toyota,Sahiwal,2021,5,41352,1800,7.74,3756941
Toyota,Islamabad,2021,5,44148,1800,8.29,3746085
Honda,Faisalabad,2018,8,73713,1300,5.56,2705459
Toyota,Multan,2023,3,44476,1800,6.88,3639903
Suzuki,Faisalabad,2011,15,213151,1300,1,250000
Hyundai,Islamabad,2012,14,165698,1500,1,880471
Hyundai,Sahiwal,2021,5,82748,1500,6.15,2715599
KIA,Karachi,2023,3,29115,1300,9.21,3301022
Toyota,Sahiwal,2014,12,144688,1500,1,2034266
Suzuki,Sahiwal,2017,9,91310,660,4.24,939555
KIA,Islamabad,2014,12,152700,1300,1.6,1607834
Honda,Faisalabad,2008,18,238916,1300,1,692100
KIA,Sahiwal,2023,3,39561,1800,8.43,3246738
KIA,Faisalabad,2011,15,132789,1500,1,1457664
Toyota,Lahore,2009,17,172252,1300,1,1244267
Honda,Multan,2008,18,183554,1500,1,1086861
KIA,Faisalabad,2022,4,42042,1300,8.75,2913947
Suzuki,Karachi,2012,14,176603,1000,1,250000
Suzuki,Multan,2018,8,104245,1000,3.62,776196
Hyundai,Karachi,2017,9,80773,1300,4.27,2196499
Honda,Sahiwal,2009,17,142319,1800,1.3,1575297
Honda,Multan,2010,16,287687,1500,1,553729
Hyundai,Faisalabad,2019,7,61889,1800,5.92,2600459
KIA,Multan,2012,14,197041,1800,1,1243378
Honda,Sahiwal,2012,14,163361,1300,1,1558001
Suzuki,Islamabad,2013,13,164195,660,2.58,250000
Suzuki,Karachi,2016,10,117583,660,2.96,435997
Toyota,Sahiwal,2009,17,187134,1500,1,1434289
Honda,Islamabad,2019,7,94166,1300,4.09,2279760
KIA,Multan,2010,16,168966,1300,1,1112653
Hyundai,Multan,2019,7,102601,1500,4.11,2062320
Hyundai,Sahiwal,2024,2,17823,1500,9.03,3288181
KIA,Faisalabad,2017,9,119716,1300,3.87,2154066
Changan,Multan,2021,5,53194,1300,6.06,2000787
Toyota,Faisalabad,2024,2,23963,1300,9.17,4030222
Hyundai,Faisalabad,2024,2,19258,1300,10,3465286
Honda,Faisalabad,2021,5,60107,1800,7.03,3227207
Toyota,Lahore,2016,10,86387,1800,2.31,2760614
Honda,Islamabad,2015,11,160678,1300,3.72,1766927
Suzuki,Islamabad,2009,17,208793,1300,1,250000
Toyota,Multan,2020,6,64363,1500,7.86,3170606
Hyundai,Multan,2014,12,138162,1800,3.22,1515708
Toyota,Faisalabad,2016,10,119038,1800,4.56,2414800
Toyota,Lahore,2018,8,153162,1300,3.54,2257622
Toyota,Faisalabad,2021,5,57501,1800,6.6,3208661
Changan,Lahore,2011,15,154514,1800,1.19,549945
Toyota,Faisalabad,2020,6,86084,1800,5.18,3444471
Honda,Karachi,2009,17,91340,1800,2.11,1678089
Suzuki,Karachi,2012,14,165871,1000,1,250000
KIA,Sahiwal,2018,8,82258,1300,5.18,2552418
Toyota,Faisalabad,2013,13,119425,1300,3.54,1965187
Hyundai,Multan,2017,9,119730,1500,3.93,1731338
Toyota,Islamabad,2011,15,184494,1800,1.52,1792439
Hyundai,Sahiwal,2016,10,79747,1500,4.3,2029481
Honda,Multan,2013,13,125864,1800,3.11,1745417
Hyundai,Karachi,2009,17,80389,1500,1.34,1195642
KIA,Faisalabad,2024,2,19926,1300,9.57,3536253
Suzuki,Sahiwal,2012,14,176889,660,1,250000
Hyundai,Faisalabad,2013,13,141889,1300,1.73,821563
Hyundai,Karachi,2019,7,94911,1800,3.12,2216955
Suzuki,Sahiwal,2017,9,83641,1300,4.56,1024223
KIA,Karachi,2013,13,134392,1500,2.26,1565473
Toyota,Lahore,2015,11,149110,1500,3.09,2377585
Hyundai,Karachi,2009,17,172492,1300,1,673076
Suzuki,Faisalabad,2019,7,76524,1300,7.26,1427891
Honda,Islamabad,2020,6,63395,1500,7.31,3180449
Suzuki,Karachi,2014,12,128834,1300,2.13,423730
Honda,Multan,2017,9,92115,1800,4.3,2869920
KIA,Islamabad,2020,6,62603,1300,6.93,2561866
Toyota,Lahore,2024,2,26842,1300,9.04,3770614
Suzuki,Sahiwal,2021,5,60996,1300,8.03,1787225
Changan,Sahiwal,2009,17,202858,1800,1,250000
Hyundai,Islamabad,2018,8,82826,1800,6.94,2370649
KIA,Sahiwal,2008,18,143629,1800,1.3,958809
Suzuki,Karachi,2011,15,218582,660,1,250000
Hyundai,Islamabad,2018,8,105367,1500,5.65,2004751
Suzuki,Faisalabad,2015,11,189076,660,2.75,250000
Honda,Karachi,2018,8,75053,1500,5.21,2885037
Suzuki,Karachi,2011,15,174117,1300,1,250000
Changan,Karachi,2024,2,24634,1500,8.07,2551687
Suzuki,Faisalabad,2014,12,178911,660,1,250000
Suzuki,Lahore,2015,11,110814,660,2.27,569309
Changan,Multan,2010,16,140945,1800,1.08,656407
KIA,Sahiwal,2009,17,258531,1300,1,353874
Suzuki,Islamabad,2022,4,41207,1300,6.94,2142940
Changan,Lahore,2012,14,199955,1300,1,250000
Hyundai,Islamabad,2008,18,238200,1300,1,374649
Honda,Sahiwal,2011,15,192459,1800,1,1210447
Honda,Faisalabad,2022,4,44908,1500,8.57,3713390
